name,category,code,image_url,brand,inventory,market_price,price,maker,country_of_origin,delivery_method,delivery_fee,sub_category,condition,option,option_price,description
[WMF] 프리미엄 냄비세트,297,19-08,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//19-08.jpg,WMF,999,74000,68500,WMF,중국,101,0,1,100,,,"16cm 로우, 16cm 소스팬"
[WMF] 디아뎀 플러스 곰솥,297,19-09,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//19-09.jpg,WMF,999,119000,110000,WMF,중국,101,0,1,100,,,용량: 8.3L
독일 [가이타이너]3중 압력솥가이타이너,297,20-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//20-01.jpg,Geithainer,999,62500,57800,Geithainer,중국,101,0,1,100,,,"4.5L 본체, 압력뚜껑"
[해피콜]후라이팬세트블랙에디션,297,20-02,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//20-02.jpg,㈜해피콜,999,89000,82300,㈜해피콜,한국,101,0,1,100,,,"28cm(포셀팬, 궁중팬, 그릴팬, 뚜껑), 20cm 통삼중 양수냄비"
[해피콜]하드세라믹 냄비세트(4종),297,20-03,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//20-03.jpg,㈜해피콜,999,89000,81200,㈜해피콜,한국,101,0,1,100,,,"18cm 편수, 20cm 양수, 24cm 전골, 24cm 곰솥(추가: 찜기, 실리콘손잡이)"
[테팔]심플리 후라이팬(3종),297,20-04,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//20-04.jpg,세브코리아,999,100000,60000,세브코리아,프랑스,101,0,1,100,,,"24', 28' 후라이팬, 28' 유리뚜껑"
[테팔]스마트터치 홈세트,297,20-05,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//20-05.jpg,그룹세브,999,116000,105600,그룹세브,프랑스,101,0,1,100,,,"28cm 후라이팬, 28cm 궁중팬, 26cm 그릴팬, 유리뚜껑, 실리콘받침"
[휘슬러]글라스라인 냄비(4종),297,20-06,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//20-06.jpg,휘슬러,999,360000,333400,휘슬러,독일,101,0,1,100,,,"16' 높은양수, 20' 낮은양수, 20' 높은 양수, 24' 양수"
[렉스론]듀폰타이벡 온열카페트(퀸)RL-1520,276,20-07,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//20-07.jpg,세일,999,150000,133400,세일,한국,101,0,1,100,,,"1500×2000(±5)mm 본체, 온도조절기, 상품설명서"
[보이로]독일 전기요UB33,276,20-08,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//20-08.jpg,beurer,999,105000,94500,beurer,헝가리,101,0,1,100,,,사이즈: 800×1500×10mm
[세사리빙]메이플 러그,276,20-09,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//20-09.jpg,웰크론,999,36000,33400,웰크론,한국,101,0,1,100,,,사이즈: 140×200cm 카페트
[락앤락]리빙박스,305,21-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//21-01.jpg,(주)락앤락,999,62000,57600,(주)락앤락,중국,101,0,1,100,,,사이즈: 55L×4
[코사스 유나이티드]ABS 여행용캐리어(20인치)CSS1251A-20S,445,21-02,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//21-02.jpg,코사스 유나이티드,999,90000,83400,코사스 유나이티드,중국,101,0,1,100,,,"사이즈: 31×53×23cm), 무게: 2.9kg"
[코사스 유나이티드]ABS 여행용캐리어(24인치)CSS1251A-24S,445,21-02-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//21-02-01.jpg,코사스 유나이티드,999,105000,94500,코사스 유나이티드,중국,101,0,1,100,,,"사이즈: 38×62×26cm), 무게: 3.8kg"
[Le-Voci]이태리 기내용 캐리어20인치,445,21-03,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//21-03.jpg,르보치,999,90000,83400,르보치,중국,101,0,1,100,,,"사이즈: 20인치(37×56×23cm), 24인치(42×61×29.5cm), 무게: 3.4kg/4.4kg, 4바퀴, 색상: 브라운, 실버"
[Le-Voci]이태리 기내용 캐리어20+24인치,445,21-03-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//21-03-01.jpg,르보치,999,195000,177800,르보치,중국,101,0,1,100,,,"사이즈: 20인치(37×56×23cm), 24인치(42×61×29.5cm), 무게: 3.4kg/4.4kg, 4바퀴, 색상: 브라운, 실버"
[마미로봇]뽀로 물걸레 로봇청소기K3,288,21-04,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//21-04.jpg,㈜마미로봇,999,300000,277800,㈜마미로봇,한국,101,0,1,100,,,"색상: 와인, 오렌지, 실버, 화이트, 라임, 티타늄"
[레이캅]침구전용 살균청소기BG-200HP/YG,288,21-05,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//21-05.jpg,아이리버,999,110000,100000,아이리버,한국,101,0,1,100,,,"색상: 핑크, 옐로우"
[먼지따로]New 블루청소기VC-TU622,288,21-06,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//21-06.jpg,삼성전자,999,108000,97800,삼성전자,베트남,101,0,1,100,,,색상: 펄블루
코오롱 코펠 경질세트(3~4인용),439,21-07,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//21-07.jpg,㈜코오롱 인더스트리,999,59000,54400,㈜코오롱 인더스트리,한국,101,0,1,100,,,"코펠 2L, 뚜껑, 다용도 주전자 1.2L, 주전자 뚜껑, 주걱, 국자, 공기×3, 15후라이팬 0.8L"
[나인뷰]전후방 차량용 블랙박스2채널 FRIENDS(16G),456,21-08,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//21-08.jpg,㈜다스,999,250000,233400,㈜다스,한국,101,0,1,100,,,"본체, 매뉴얼, 마이크로 SD카드(각 8G), 시거잭, 케이블정리선"
[아이리버]HD급 블랙박스X350(8G),456,21-09,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//21-09.jpg,아이리버,999,180000,166700,아이리버,한국,101,0,1,100,,,"본체, 전원 카케이블, 설치 액세서리, 설명서"
